"DATE","Quantity"
"2020-01-02",2471.6130000000003
"2020-01-03",6953.558199999999
"2020-01-04",49.379999999999995
"2020-01-06",30606.214299999985
"2020-01-07",38250.7541
"2020-01-08",37665.91390000002
"2020-01-09",36709.117700000024
"2020-01-10",34818.785700000044
"2020-01-11",951.8100000000001
"2020-01-13",35461.2139
"2020-01-14",40119.30799999992
"2020-01-15",41041.50999999999
"2020-01-16",39301.85000000005
"2020-01-17",36260.444700000044
"2020-01-18",1131.54
"2020-01-19",1472.76
"2020-01-20",39063.10600000004
"2020-01-21",41617.93000000002
"2020-01-22",42766.18599999999
"2020-01-23",38123.115999999995
"2020-01-24",38212.56969999997
"2020-01-25",2089.1000000000004
"2020-01-26",1518.5800000000002
"2020-01-27",40752.677999999956
"2020-01-28",41284.04000000006
"2020-01-29",41227.900000000016
"2020-01-30",44051.88000000001
"2020-01-31",40817.72000000009
"2020-02-01",1038.28
"2020-02-02",1300.5
"2020-02-03",41786.327999999914
"2020-02-04",48515.32999999997
"2020-02-05",45582.07000000001
"2020-02-06",46676.46999999998
"2020-02-07",41736.758999999955
"2020-02-08",1961.87
"2020-02-09",1477.96
"2020-02-10",43571.74999999986
"2020-02-11",39808.33000000006
"2020-02-12",38829.22400000004
"2020-02-13",42867.45500000004
"2020-02-14",36960.10400000002
"2020-02-15",1591.06
"2020-02-16",1536.1000000000001
"2020-02-17",41795.69000000001
"2020-02-18",41806.954
"2020-02-19",40203.69299999998
"2020-02-20",38543.03999999997
"2020-02-21",32464.573999999997
"2020-02-22",1108.3500000000001
"2020-02-23",1524
"2020-02-24",35546.80000000001
"2020-02-25",33466.930000000015
"2020-02-26",39410.941000000006
"2020-02-27",36937.899999999965
"2020-02-28",34506.46
"2020-02-29",1149.3000000000004
"2020-03-01",1521.4
"2020-03-02",38113.60000000003
"2020-03-03",42795.49400000005
"2020-03-04",45939.76199999997
"2020-03-05",46992.53000000011
"2020-03-06",42475.44499999991
"2020-03-07",2521.3600000000006
"2020-03-08",1512.09
"2020-03-09",46088.97999999991
"2020-03-10",46685.64999999996
"2020-03-11",48988.438
"2020-03-12",50400.08999999992
"2020-03-13",43175.709999999934
"2020-03-14",1553.1299999999994
"2020-03-15",1510.06
"2020-03-16",44084.14000000002
"2020-03-17",44734.709999999985
"2020-03-18",46843.46000000002
"2020-03-19",46612.2299999999
"2020-03-20",40253.33199999992
"2020-03-21",1565.5200000000002
"2020-03-23",46165.396999999946
"2020-03-24",32425.020000000004
"2020-03-25",31246.48000000001
"2020-03-26",22508.53
"2020-03-27",21887.410000000007
"2020-03-30",4986.96
"2020-03-31",6966.58
"2020-04-01",5811.120000000003
"2020-04-02",10438.819999999994
"2020-04-03",6522.200000000002
"2020-04-06",5912.8600000000015
"2020-04-07",6278.38
"2020-04-08",5620.400000000002
"2020-04-09",2527.72
"2020-04-14",5275.279999999999
"2020-04-15",8078.189999999994
"2020-04-16",7724.780000000001
"2020-04-17",3683.7999999999993
"2020-04-20",3045.36
"2020-04-21",3986.699999999998
"2020-04-22",5403.340000000001
"2020-04-23",10035.920000000011
"2020-04-24",10470.520000000019
"2020-04-25",403.71999999999997
"2020-04-27",10716.820000000007
"2020-04-28",9697.129999999997
"2020-04-29",9358.88
"2020-04-30",9799.999999999996
"2020-05-01",10851.180000000008
"2020-05-02",345.7999999999999
"2020-05-03",1499.8000000000002
"2020-05-04",16711.600000000024
"2020-05-05",16325.70000000001
"2020-05-06",16416.380000000016
"2020-05-07",15157.660000000007
"2020-05-08",2212.019999999999
"2020-05-11",19133.030000000002
"2020-05-12",16960.330000000016
"2020-05-13",21390.740000000013
"2020-05-14",19776.000000000004
"2020-05-15",21571.699999999968
"2020-05-16",1201.9800000000002
"2020-05-18",21927.120000000024
"2020-05-19",23083.479999999952
"2020-05-20",24666.519000000022
"2020-05-21",22951.389999999992
"2020-05-22",20094.555
"2020-05-23",267.4
"2020-05-25",1144.1499999999999
"2020-05-26",25912.70999999997
"2020-05-27",25694.800000000014
"2020-05-28",28328.85
"2020-05-29",25044.789999999994
"2020-05-30",1384.8800000000003
"2020-06-01",23338.440000000013
"2020-06-02",27763.01999999997
"2020-06-03",28198.750000000025
"2020-06-04",28118.809999999994
"2020-06-05",25868.40999999999
"2020-06-06",154.44
"2020-06-07",19.3
"2020-06-08",31989.2
"2020-06-09",32351.080000000053
"2020-06-10",32933.91999999999
"2020-06-11",31196.040000000055
"2020-06-12",26646.570000000003
